ID,ARTICULO,COD. PROV,COSTO,$ VENTA1,$ VENTA 2,MARCA,ITEM,Items,Stock,PROVEEDOR,NRO DE CLIENTE
0,,,,,,,,,,ZERAMIKO,5290
1000,CEMENTO X BOLSA - HOLCIM X 25KG,10085087,5000.156,6000.0,6600.0,minetti,BOLSAS,BOLSAS,933.0,HOLCIM - MINETTI,3618
1001,MAESTRO - HERCAL X 25 KG,10084067,4583.268,5500.0,6050.0,minetti,BOLSAS,BOLSAS,206.0,HOLCIM - MINETTI,3618
1002,CEMENTO X BOLSA - HOLCIM X 50 KG,,7500.185,12000.0,13200.0,minetti,BOLSAS,BOLSAS,-1.0,HOLCIM - MINETTI,3618
1003,WEBER ADHESIVO COL SUPERFLEX X 25 KG,92-0151,23452.695,28143.0,30958.0,WEBER,BOLSAS,BOLSAS,28.0,WEBER - IGGAM,3607
1004,CAL HIDRATADA  X 25 KG,10061798,4665.155,7500.0,8250.0,minetti,BOLSAS,BOLSAS,12.0,HOLCIM - MINETTI,3618
1005,PASTINA WEBER X 5 KGS,92-1522,7515.562,11300.0,11639.0,WEBER,BOLSAS,BOLSAS,-1.0,WEBER - IGGAM,3607
1006,Z CAL HIDRATADA,,93.506,117.0,129.0,minetti,BOLSAS,BOLSAS,0.0,CEFAS S.A,4268
1007,ZZCAL X KG,,0.0,0.0,0.0,minetti,BOLSAS,BOLSAS,130.0,AAA VARIOS,3714
1008,WEBER VENECIANO NIEVE X 5 KG,92-0138,8403.681,10084.0,11093.0,PLASTER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1009,PASTINA PLOMO X 2 KG,92-1120,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,31.0,WEBER - IGGAM,3607
1011,PASTINA PLATA X 2 KG,92-1119,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,10.0,WEBER - IGGAM,3607
1012,WEBER ADHESIVO COL GRIS X 30 KG,92-0012,6467.149,7761.0,8537.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1013,WE REVOQUE FINTUC X 25 KG,,4622.2,5547.0,6101.0,FINTUC,BOLSAS,BOLSAS,0.0,FINTUC,3612
1014,ZZZADHESIVO CEMENTICIO  X 30 KGS,,10930.075,13116.0,14428.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1015,YESO X BOLSA ESFINGE,,8893.5,11500.0,12650.0,SIN ASIGNAR,BOLSAS,BOLSAS,47.0,COMPANIA MINERA,3627
1016,WEBER REVOQUE FINO X 25 KG,90-2755,6287.544,7600.0,8360.0,WEBER,BOLSAS,BOLSAS,123.0,WEBER - IGGAM,3607
1017,PASTINA KLAUCOL X 1 KG,42WCCLA27,5693.932,6800.0,7480.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1019,PASTINA ARENA X 2 KG,92-1104,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,9.0,WEBER - IGGAM,3607
1020,MAESTRO - HERCAL X 40 KG,,6666.495,9600.0,10560.0,minetti,BOLSAS,BOLSAS,0.0,HOLCIM - MINETTI,3618
1021,PASTINA BEIGE X 2 KG,92-1105,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,7.0,WEBER - IGGAM,3607
1022,ZZWE ADHESIVO FINTUC X 30 KG,,224.799,292.0,321.0,FINTUC,BOLSAS,BOLSAS,0.0,FINTUC,3612
1023,PASTINA CHAMPAGNE X 2 KG,92-1102,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,8.0,WEBER - IGGAM,3607
1024,CEMENTO BLANCO X KG,6110,1925.91,3505.0,3856.0,WEBER,BOLSAS,BOLSAS,18.0,H. J. HERRERA S.R.L.,3623
1025,PASTINA GALIO X 1 KG,92-1104,2761.221,3300.0,3630.0,WEBER,BOLSAS,BOLSAS,-2.0,WEBER - IGGAM,3607
1026,TELGOPOR EN PERLAS (BOLSA),,308.214,401.0,441.0,SIN ASIGNAR,BOLSAS,BOLSAS,1.0,AISLANTES TECNOPOR SRL,3665
1027,PASTINA TEJA PORCEL X 2 KG,92-1211,6424.474,7800.0,8580.0,WEBER,BOLSAS,BOLSAS,6.0,WEBER - IGGAM,3607
1028,ZZPASTINA TEJA X 2KG,42WCCLA27,9817.123,11781.0,12959.0,WEBER,BOLSAS,BOLSAS,7.0,WEBER - IGGAM,3607
1029,HERCAL X KG,,211.75,244.0,268.0,minetti,BOLSAS,BOLSAS,143.0,AAA VARIOS,3714
1030,PASTINA NIEVE X 2 KG,92-1100,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,27.0,WEBER - IGGAM,3607
1031,"ESPIGA ROSCA M 1 1/2""",022000080,711.914,925.0,1018.0,SIN ASIGNAR,PPM ESPIGAS,PPM ESPIGAS,-2.99,TUBONOR (PROVEEDOR),3706
1032,TEC DUR X 25 KGS,94-0001,45242.912000000004,54291.0,59721.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1033,ZZREVOQUE FINO PLASTER IMP X 25 KGS,,6776.0,8470.0,9317.0,PLASTER,BOLSAS,BOLSAS,0.0,PLASTER - LIMBADI SRL,3724
1035,WEBER ADHESIVO TEC REFRAC X 20 KG,94-0045,57452.813,68943.0,75838.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1036,WEBER SALPICRETE ARENA X 30 KG,90-1004,29692.153000000002,35631.0,39194.0,WEBER,BOLSAS,BOLSAS,0.01,WEBER - IGGAM,3607
1037,ZZPASTINA VERDE JADE X 2 KG,42WCCLA27,9817.123,11781.0,12959.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1038,PASTINA NEGRA X 2 KG,92-1122,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,15.0,WEBER - IGGAM,3607
1039,WEBER PROMEX E - 3-1 X 30 KG,90-2714,8695.146,10434.0,11478.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1040,ZZPASTINA VERDE MUSGO X 2 KG,42WCCLA27,9817.123,11781.0,12959.0,WEBER,BOLSAS,BOLSAS,-2.0,WEBER - IGGAM,3607
1041,ZZPASTINA MADERA X 2 KG,42WCCLA27,9817.123,11781.0,12959.0,WEBER,BOLSAS,BOLSAS,7.0,WEBER - IGGAM,3607
1042,PASTINA HABANO PORCEL. X 2 KG,92-1213,6424.474,7800.0,8580.0,WEBER,BOLSAS,BOLSAS,7.0,WEBER - IGGAM,3607
1043,CEMENTO LICITACION SAT,,55.999,84.0,92.0,SIN ASIGNAR,BOLSAS,BOLSAS,0.0,AAA VARIOS,3714
1044,WEBER SALPICRETE BEIGE X 30 KG,90-1004,29692.153000000002,35631.0,39194.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1045,WEBER SUPER IGGAM MARFIL,90-1204,31492.424,37791.0,41570.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1046,PASTINA TERRACOTA X 2 KG,92-1109,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,13.0,WEBER - IGGAM,3607
1047,WE REVOQUE FINO A LA CAL,,7180.8330000000005,8617.0,9479.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1048,PASTINA HABANO X 2 KG,92-1127,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,30.0,WEBER - IGGAM,3607
1049,WEBER SUPER IGGAM ARENA,90-1204,31492.424,37791.0,41570.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
1051,PASTINA PERLATO X 2 KG,92-1101,3471.362,4200.0,4620.0,WEBER,BOLSAS,BOLSAS,15.0,WEBER - IGGAM,3607
1052,WE ADHESIVO CEMENTICIO X KG,,483.959,581.0,639.0,WEBER,BOLSAS,BOLSAS,3728.0,WEBER - IGGAM,3607
1054,WE REVOQUE FINO X KG,,266.2,399.0,439.0,SIN ASIGNAR,BOLSAS,BOLSAS,4483.0,AAA VARIOS,3714
1055,PASTINA X 1 KGS,6409,2398.887,3838.0,4222.0,WEBER,BOLSAS,BOLSAS,-22.99,H. J. HERRERA S.R.L.,3623
1056,WEBER SALPICRETE TERRACOTA X 30 KG,90-1004,29692.153000000002,35631.0,39194.0,WEBER,BOLSAS,BOLSAS,0.01,WEBER - IGGAM,3607
1057,WEBER ADHESIVO TEC REFRAC X 10 KG.,94-0046,31466.25,37760.0,41535.0,WEBER,BOLSAS,BOLSAS,6.0,WEBER - IGGAM,3607
1058,YESO X KG,,372.68,708.0,779.0,SIN ASIGNAR,BOLSAS,BOLSAS,-5461.0,COMPANIA MINERA,3627
1059,WEBER SUPER IGGAM OCRE,90-1204,31492.424,37791.0,41570.0,WEBER,BOLSAS,BOLSAS,0.0,WEBER - IGGAM,3607
